date,open,high,low,close,last,yesterday,volume,value,count
1404-02-31,4994,5434,4994,5128,5015,5310,540,2769330000,21
1404-02-30,5682,5682,4987,5310,4990,5952,1730,9185750000,61
1404-02-29,5947,6001,5742,5952,5969,6469,1984,11809069000,43
1404-02-28,6524,6659,6257,6469,6550,6302,4044,26158976000,101
1404-02-27,6208,6468,5959,6302,6337,6526,3446,21716807000,111
1404-02-24,6300,6573,6300,6526,6394,6157,3695,24113512000,18
1404-02-23,6108,6428,5995,6157,6020,6179,3716,22877865000,118
1404-02-22,6276,6276,6090,6179,6150,5499,1863,11510770000,28
1404-02-21,5445,5600,5440,5499,5440,5653,118,648905000,8
1404-02-20,5678,5680,5600,5653,5600,6265,750,4239800000,9
1404-02-17,6472,6472,6199,6265,6199,6158,140,877090000,5
1404-02-16,6158,6158,6158,6158,6158,1,100,615800000,1
