date,open,high,low,close,last,yesterday,volume,value,count
1404-02-31,2062,2062,2062,2062,2062,2125,29000000,59798000000,1
1404-02-23,2228,2228,2228,2228,2228,2296,50000000,111400000000,1
1404-02-22,2296,2296,2296,2296,2296,2230,87100000,199981600000,1
1403-10-15,2375,2375,2375,2375,2375,2341,33000000,78375000000,1
1403-10-08,2322,2322,2322,2322,2322,2255,50000000,116100000000,1
1403-09-10,2003,2003,2003,2003,2003,2064,103405594,207121404782,1
1402-12-07,2105,2105,2105,2105,2105,2192,13978678,29425117190,1
1402-10-20,2415,2415,2415,2415,2415,2415,72000000,173880000000,3
1402-10-12,2400,2400,2400,2400,2400,2354,200000000,480000000000,6
1402-09-22,2449,2449,2449,2449,2449,2449,30000000,73470000000,1
1402-02-25,2700,2700,2700,2700,2700,2595,174230000,470421000000,1
1402-02-09,2695,2695,2695,2695,2695,2678,70000000,188650000000,2
1401-12-28,1875,1875,1875,1875,1875,1859,316260000,592987500000,2
1401-12-27,1875,1875,1875,1875,1875,1786,342000000,641250000000,1
1401-12-16,1815,1815,1815,1815,1815,1852,275500000,500032500000,1
1401-07-20,1285,1285,1285,1285,1285,1282,88802386,114111066010,1
1400-03-30,1567,1567,1567,1567,1567,1584,30154116,47251499772,1
1400-03-29,1567,1567,1567,1567,1567,1522,899845884,1410058500228,5
1400-03-26,1567,1567,1567,1567,1567,1552,350000000,548450000000,2
