date,open,high,low,close,last,yesterday,volume,value,count
1404-02-31,15570,15700,15570,15570,15600,16050,3200696,49838706780,977
1404-02-30,16660,16660,15750,16050,15750,16230,4220644,67721134610,1629
1404-02-29,16690,16940,16190,16230,16190,16690,2419974,39265523060,970
1404-02-28,16700,16770,16450,16690,16520,16290,3288078,54863166670,418
1404-02-27,16200,16390,15970,16290,16370,15940,3716820,60535063160,617
1404-02-24,16170,16170,15460,15940,15920,15760,1377536,21962088930,290
1404-02-23,15390,15780,14920,15760,15630,15330,6113249,96371633860,681
1404-02-22,15330,15330,15250,15330,15330,14890,1463077,22428893280,258
1404-02-21,14680,15340,14670,14890,14800,14970,846250,12591033790,434
1404-02-20,15380,15380,14870,14970,15090,15290,1218730,18250143180,647
1404-02-17,15330,15370,15000,15290,15370,14930,2164231,33088371230,441
1404-02-16,15280,15280,14650,14930,15190,14870,4076710,60884169180,959
1404-02-15,15190,15250,14660,14870,14870,14870,3222020,47927204970,723
1404-02-14,14650,15140,14530,14870,14860,14940,2869617,42667408850,685
1404-02-13,14930,15200,14930,14940,14930,15390,2172942,32457131170,386
1404-02-10,15260,15400,15090,15390,15400,14960,1526647,23488907070,378
1404-02-09,14440,14990,14440,14960,14990,14560,3491876,52226049690,435
1404-02-08,14560,14890,14490,14560,14500,14510,776219,11308926540,305
1404-02-07,14380,14840,14380,14510,14380,14820,3829966,55554633920,547
1404-02-06,14940,15240,14800,14820,14990,15250,4320396,64036712570,694
1404-02-03,15250,15250,15250,15250,15250,15720,1440148,21962257000,104
1404-02-02,16150,16150,15720,15720,15720,16200,2369008,37250219190,346
1404-02-01,16310,16310,15480,16200,15600,15840,3854825,62460827390,626
1404-01-31,15840,15840,15800,15840,15840,15380,2641953,41846907700,295
1404-01-30,15270,15480,14750,15380,15400,15030,2388061,36721547900,410
1404-01-27,15430,15440,14890,15030,15050,15130,2045245,30733030660,640
1404-01-26,15700,15850,14970,15130,14980,15430,2488149,37638573710,516
1404-01-25,15430,15430,15430,15430,15430,14990,3801768,58661280240,204
1404-01-24,14990,14990,14940,14990,14990,14560,3665113,54939631240,313
1404-01-23,15300,15300,14520,14560,14660,14960,3658895,53289169140,1231
1404-01-20,15680,15680,14800,14960,14800,15250,886432,13238569260,205
1404-01-19,15280,15280,15270,15250,15280,14840,876996,13400497700,225
1404-01-18,15200,15200,14770,14840,14880,15030,1490424,22112237520,515
1404-01-17,15540,15540,14950,15030,14950,15410,1681568,25265619490,846
1404-01-16,15480,16220,15340,15410,15340,15810,1696627,26147088720,428
