date,open,high,low,close,last,yesterday,volume,value,count
1404-02-31,11513,11741,11513,11699,11693,11857,171207,2002985636,40
1404-02-30,12011,12011,11759,11857,11763,12113,152976,1813793140,35
1404-02-29,12119,12166,11994,12113,12108,12149,277980,3367179322,30
1404-02-28,12169,12270,12100,12149,12137,12248,106283,1291223232,42
1404-02-27,12449,12462,12136,12248,12155,12372,384232,4706169831,52
1404-02-24,12490,12541,12318,12372,12419,12315,12524641,154957672748,79
1404-02-23,12582,12582,12147,12315,12429,12275,222187,2736312416,72
1404-02-22,12258,12318,12177,12275,12259,11960,231300,2839193931,47
1404-02-21,12229,12229,11930,11960,12034,12258,113346,1355586796,42
1404-02-20,12305,12386,12133,12258,12137,12386,58570,717956209,29
1404-02-17,12331,12568,12262,12386,12295,12286,2736206,33889446647,100
1404-02-16,12350,12415,12160,12286,12366,12437,4176385,51310983292,121
1404-02-15,12533,12715,12323,12437,12355,12593,5176372,64379144546,134
1404-02-14,12535,12746,12522,12593,12547,12713,1030591,12977788506,85
1404-02-13,12807,12807,12566,12713,12692,12865,2033499,25851978594,110
1404-02-10,12829,12960,12730,12865,12882,12751,16432120,211398499389,295
1404-02-09,12900,12900,12694,12751,12695,12546,36667187,467558687922,396
1404-02-08,12313,12760,12313,12546,12636,12389,65755357,824997115945,667
1404-02-07,12463,12463,12237,12389,12305,12442,228816,2834902205,49
1404-02-06,12478,12579,12367,12442,12456,12398,16118002,200541076688,117
1404-02-03,12469,12495,12144,12398,12454,12339,8580504,106380174313,143
1404-02-02,12268,12650,12268,12339,12298,12491,215340,2657151034,55
1404-02-01,12683,12683,12295,12491,12337,12434,1519367,18977958322,136
1404-01-31,12398,12457,12304,12434,12403,12095,766700,9533473128,73
1404-01-30,11968,12180,11940,12095,12092,11892,72012,870976933,46
1404-01-27,12180,12180,11702,11892,11889,11941,2000691,23791689311,56
1404-01-26,12120,12120,11899,11941,11949,12149,1521835,18171675865,47
1404-01-25,12433,12433,12019,12149,12130,12079,1597208,19404363542,72
1404-01-24,11700,12086,11700,12079,12086,11734,3989584,48189277616,139
1404-01-23,11729,11934,11685,11734,11758,11729,13079,153464886,17
1404-01-20,12016,12016,11687,11729,11721,11981,280179,3286256658,38
1404-01-19,11511,11984,11511,11981,11980,11635,91687,1098490453,45
1404-01-18,11836,11836,11499,11635,11643,11716,5051818,58776076726,82
1404-01-17,11790,11790,11690,11716,11690,11974,23103,270666470,36
1404-01-16,12102,12102,11816,11974,11816,11970,229869,2752388056,29
1404-01-10,11898,12001,11898,11970,11982,11895,4015,48061248,26
1404-01-09,11818,12019,11809,11895,11892,11803,23940,284757196,53
1404-01-06,11794,11893,11785,11803,11803,11809,132830,1567855265,30
1404-01-05,11682,11867,11682,11809,11866,11666,188561,2226733446,47
1403-12-28,11681,11701,11579,11666,11660,11720,81435,950061252,25
1403-12-27,11719,11855,11685,11720,11689,11754,25828,302707937,30
1403-12-26,11652,11826,11651,11754,11755,11749,193205,2271006596,47
1403-12-25,11497,11841,11497,11749,11762,11671,511342,6007683545,87
1403-12-22,11482,11740,11414,11671,11576,11528,64818853,756479071278,117
1403-12-21,11687,11700,11447,11528,11580,11801,18764143,216318131608,114
1403-12-20,11828,11986,11500,11801,11647,11767,106620,1258196416,47
1403-12-19,11792,11851,11670,11767,11740,11863,75417,887447163,41
1403-12-18,12104,12104,11825,11863,11852,12149,87173,1034156969,44
1403-12-15,11978,12185,11965,12149,12181,12265,14941530,181527621807,103
1403-12-14,12226,12351,12083,12265,12115,12456,134165,1645544942,50
1403-12-13,12562,12567,12177,12456,12280,12553,2297886,28622425011,74
1403-12-12,12531,12600,12531,12553,12563,12627,64792,813304042,48
1403-12-11,12557,12700,12499,12627,12499,12548,168911,2132823612,88
1403-12-08,12590,12703,12390,12548,12555,12583,842744,10574461497,142
1403-12-07,12450,12700,12442,12583,12600,12421,837671,10540593088,136
1403-12-06,12233,12474,12221,12421,12474,12207,1193018,14818640607,178
1403-12-05,11980,12210,11970,12207,12200,12077,25301278,308848270458,146
1403-12-04,12178,12178,11910,12077,11934,12071,579744,7001380179,65
1403-12-01,12111,12205,11670,12071,12103,12015,2143940,25879434732,83
1403-11-30,11985,12061,11981,12015,12022,11948,904845,10871654084,55
1403-11-29,11860,12106,11859,11948,11859,11868,896687,10713426489,52
1403-11-28,12087,12087,11790,11868,11847,12154,253401,3007443652,60
1403-11-27,12276,12276,11988,12154,11990,12315,128444,1561171185,58
1403-11-23,12388,12396,12162,12315,12165,12379,56783,699270980,82
1403-11-21,12272,12453,12268,12379,12276,12174,9194008,113812188734,121
1403-11-17,12205,12279,12091,12174,12279,12296,38527,469012193,68
1403-11-16,12342,12368,12191,12296,12191,12521,187150,2301134270,78
1403-11-15,12410,12574,12410,12521,12570,12209,236846,2965497325,73
1403-11-14,12218,12300,12157,12209,12246,12175,322637,3938943273,52
1403-11-13,12286,12385,12090,12175,12135,12326,137961,1679652609,64
1403-11-10,12440,12445,12258,12326,12284,12441,79939,985295446,66
1403-11-08,12436,12509,12383,12441,12384,12721,66050,821737624,99
1403-11-07,12608,12738,12457,12721,12457,12720,15865078,201826061033,127
1403-11-06,12653,12850,12554,12720,12623,12694,8409196,106961578999,150
