date,open,high,low,close,last,yesterday,volume,value,count
1404-02-31,21071,21072,21071,21071,21072,21040,67557133,1423518158838,441
1404-02-30,21041,21041,21040,21040,21041,21020,109907236,2312460938416,498
1404-02-29,21020,21021,21020,21020,21021,21000,52047756,1094051891494,314
1404-02-28,21000,21001,21000,21000,21000,20979,25820127,542231530759,254
1404-02-27,20979,20980,20979,20979,20980,20950,14246308,298877716926,257
1404-02-24,20949,20952,20949,20950,20952,20919,23914854,501013961648,396
1404-02-23,20919,20920,20919,20919,20920,20899,23934875,500697265954,298
1404-02-22,20900,20900,20899,20899,20900,20879,24576755,513641453031,320
1404-02-21,20879,20880,20879,20879,20879,20859,28735970,599985104380,213
1404-02-20,20859,20860,20859,20859,20860,20822,25231083,526303571451,332
1404-02-17,20822,20823,20822,20822,20823,20792,28581837,595142480435,310
1404-02-16,20792,20793,20792,20792,20793,20773,23400315,486545806265,257
1404-02-15,20773,20774,20773,20773,20774,20753,37542696,779878828122,280
1404-02-14,20753,20754,20753,20753,20754,20733,34572386,717492288469,242
1404-02-13,20734,20734,20733,20733,20734,20704,67694289,1403526068877,360
1404-02-10,20704,20706,20704,20704,20705,20676,22461354,465050996880,299
1404-02-09,20675,20676,20675,20676,20676,20655,47875232,989850424453,332
1404-02-08,20655,20656,20655,20655,20656,20635,74034136,1529186768134,385
1404-02-07,20635,20636,20635,20635,20636,20617,48518163,1001193871491,322
1404-02-06,20616,20617,20616,20617,20616,20588,59236392,1221249210738,384
1404-02-03,20587,20590,20587,20588,20590,20557,17096635,351989223571,326
1404-02-02,20558,20558,20557,20557,20558,20538,73194914,1504689272606,413
1404-02-01,20538,20539,20538,20538,20539,20518,31050971,637730382880,310
1404-01-31,20518,20519,20518,20518,20519,20498,25576949,524792008419,333
1404-01-30,20499,20500,20498,20498,20498,20473,164683772,3375741685433,462
1404-01-27,20473,20475,20473,20473,20473,20441,31971292,654560289721,352
1404-01-26,20441,20442,20441,20441,20442,20422,58018747,1185970975017,472
1404-01-25,20423,20423,20421,20422,20423,20402,45093816,920914472865,449
1404-01-24,20402,20403,20402,20402,20402,20383,30659814,625530901780,439
1404-01-23,20383,20384,20383,20383,20383,20354,26577210,541733182835,283
1404-01-20,20354,20356,20354,20354,20356,20325,30828404,627491113835,270
1404-01-19,20311,20326,20311,20325,20326,20306,30099543,611775239947,404
1404-01-18,20307,20307,20306,20306,20307,20287,18856699,382905090777,251
1404-01-17,20287,20288,20287,20287,20288,20267,19218508,389893288198,306
1404-01-16,20268,20268,20267,20267,20268,20229,31926517,647065694180,515
1404-01-10,20227,20233,20227,20229,20232,20150,17060086,345113058412,212
1404-01-09,20150,20151,20150,20150,20151,20123,43063460,867749016908,455
1404-01-06,20122,20124,20122,20123,20122,20093,25935638,521893596655,258
1404-01-05,20093,20094,20093,20093,20094,20036,47085984,946113859250,353
1403-12-28,20035,20038,20035,20036,20037,19959,85957509,1722229387180,744
1403-12-27,19959,19960,19958,19959,19959,19940,120285002,2400787982160,524
1403-12-26,19940,19941,19940,19940,19941,19920,64388868,1283945176290,383
1403-12-25,19921,19921,19920,19920,19921,19892,48748140,971078209360,324
1403-12-22,19892,19893,19892,19892,19893,19863,46328992,921597656957,358
1403-12-21,19863,19864,19863,19863,19863,19844,94424008,1875571805763,396
1403-12-20,19844,19846,19844,19844,19845,19825,58704105,1164950842451,405
1403-12-19,19825,19826,19825,19825,19825,19806,37072564,734966167070,291
1403-12-18,19806,19807,19806,19806,19807,19780,74685820,1479231225100,667
1403-12-15,19778,19782,19778,19780,19780,19750,49458305,978264310732,389
1403-12-14,19750,19751,19750,19750,19751,19733,26715797,527648756152,403
1403-12-13,19732,19733,19732,19733,19733,19713,27940292,551335862967,321
1403-12-12,19713,19714,19713,19713,19713,19695,99122717,1954047530046,433
1403-12-11,19695,19696,19695,19695,19695,19668,62271270,1226462500687,592
1403-12-08,19667,19670,19667,19668,19670,19639,35871089,705504239784,458
1403-12-07,19639,19640,19639,19639,19639,19621,49658327,975246747586,448
1403-12-06,19621,19622,19621,19621,19622,19602,27416789,537952577375,316
1403-12-05,19602,19603,19602,19602,19603,19584,20954367,410756710351,321
1403-12-04,19585,19585,19584,19584,19585,19556,50938551,997593683987,539
1403-12-01,19556,19558,19556,19556,19557,19529,44645623,873108144787,368
1403-11-30,19529,19530,19529,19529,19530,19510,49595929,968569275277,427
1403-11-29,19510,19511,19510,19510,19511,19492,89043705,1737250575400,467
1403-11-28,19493,19493,19492,19492,19492,19473,102900199,2005744309907,551
1403-11-27,19475,19475,19472,19473,19475,19419,123900566,2412731174770,624
1403-11-23,19419,19420,19419,19419,19420,19391,38414929,745989871727,443
1403-11-21,19391,19392,19391,19391,19392,19337,46622090,904059684156,575
1403-11-17,19337,19339,19337,19337,19338,19310,32157469,621833512422,428
1403-11-16,19310,19311,19310,19310,19311,19290,51478889,994063445826,361
1403-11-15,19292,19292,19289,19290,19292,19273,77703886,1498929382242,436
1403-11-14,19273,19274,19272,19273,19273,19255,57513837,1108470724158,443
1403-11-13,19255,19256,19255,19255,19255,19228,77465517,1491610251446,612
1403-11-10,19200,19230,19200,19228,19230,19188,52366145,1006874311389,598
1403-11-08,19188,19189,19188,19188,19189,19165,78711136,1510331846297,528
1403-11-07,19166,19166,19165,19165,19166,19147,128904363,2470468817749,580
1403-11-06,19147,19148,19147,19147,19147,19121,105555344,2021083416211,1094
1403-11-03,19122,19122,19121,19121,19122,19094,37822894,723224325001,476
1403-11-02,19094,19095,19093,19094,19094,19076,89330653,1705690547100,503
1403-11-01,19076,19077,19076,19076,19076,19058,53029422,1011596886849,436
1403-10-30,19058,19059,19058,19058,19059,19040,20693719,394387209857,367
1403-10-29,19040,19041,19040,19040,19041,19013,51002004,971082681596,793
1403-10-26,19014,19015,19012,19013,19014,18974,79070431,1503399051393,1330
1403-10-24,18974,18975,18974,18974,18975,18951,28438476,539597713336,741
1403-10-23,18951,18952,18951,18951,18952,18934,144537652,2739165536887,1553
